(3, 1),248.5,-0.11409730000166918
(3, 3),243.0,-0.1254557000021185
(3, 5),255.0,-0.11090600000167936
(3, 7),245.0,-0.12095330000226019
(3, 9),247.0,-0.12163370000214833
(3, 11),249.5,-0.11290130000177859
(3, 13),255.0,-0.12426250000159472
(3, 15),251.0,-0.11968150000206104
(5, 7),245.5,-0.11919640000222519
(7, 7),229.5,-0.13208210000227957
(9, 7),256.0,-0.11542710000221437
(11, 7),257.0,-0.11250630000212514
(13, 7),249.5,-0.12188130000201866
(7, 13),243.5,-0.11578590000194305
(11, 9),236.5,-0.13427610000268206
(11, 13),227.5,-0.11478940000210931
QN,228.5,-0.26189000000347995
optimal,340.0,-0.09575200000143254
